     MC cycles:          Temp:           <E>:         <|M|>:            Cv:       Chi (X):
      1000000.0      2.1800000     -1.5736270     0.80924481      1.2833222      2.8122963
      1000000.0      2.1900000     -1.5611394     0.79890614      1.3304556      3.4639551
      1000000.0      2.2000000     -1.5462981     0.78361168      1.4307470      5.8469229
      1000000.0      2.2100000     -1.5324852     0.77143019      1.4727812      5.8554976
      1000000.0      2.2200000     -1.5164386     0.75384259      1.5874631      7.7672304
      1000000.0      2.2300000     -1.4998956     0.73247204      1.7010017      13.626877
      1000000.0      2.2400000     -1.4834343     0.71264380      1.7716296      14.782819
      1000000.0      2.2500000     -1.4639144     0.68040845      1.9285468      23.051228
      1000000.0      2.2600000     -1.4442775     0.64431330      2.0376424      32.412297
      1000000.0      2.2700000     -1.4232270     0.60437165      2.2035354      41.149209
      1000000.0      2.2800000     -1.4011350     0.55206428      2.2460807      53.762681
      1000000.0      2.2900000     -1.3796355     0.50523138      2.2205957      59.007638
      1000000.0      2.3000000     -1.3569790     0.44902832      2.0988575      61.416919
      1000000.0      2.3100000     -1.3393889     0.41651717      2.0278430      60.626289
      1000000.0      2.3200000     -1.3181418     0.35638008      1.8676346      59.660857
